,name,establishment,url,address,city,locality,zipcode,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes
536,McDonald's,['Quick Bites'],https://www.zomato.com/ahmedabad/mcdonalds-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Safal Pegasus, Near Reliance Fresh, Prahlad Nagar, Ahmedabad",Ahmedabad,"Safal Pegasus, Prahlad Nagar",0,"Safal Pegasus, Prahlad Nagar, Ahmedabad","Burger, Fast Food",9 AM to 1 AM,500,2,"['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Sodexo', 'Air Conditioned', 'Indoor Seating']",4.1,Very Good,753
537,VarieTea,['Café'],https://www.zomato.com/ahmedabad/varietea-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A 2, Aashna, Behind Shell Petrol Pump, Prahlad Nagar, Ahmedabad",Ahmedabad,Prahlad Nagar,380015,"Prahlad Nagar, Ahmedabad","Cafe, Tea, Italian",11 AM to 11 PM,600,2,"['Dinner', 'Takeaway Available', 'Credit Card', 'Lunch', 'Cash', 'Delivery', 'Debit Card', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Wifi', 'Live Sports Screening', 'Outdoor Seating', 'Free Wifi', 'Pure Veg']",4.2,Very Good,1262
538,The Chocolate Room,['Café'],https://www.zomato.com/ahmedabad/the-chocolate-room-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"5-7, Ground Floor, University Plaza, Near Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,0,"Navrangpura, Ahmedabad",Cafe,9 AM to 11 PM,700,2,"['Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Delivery', 'Sodexo', 'Free Wifi', 'Axis Bank - Dining Delights', 'Wifi', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.1,Very Good,655
539,McDonald's,['Quick Bites'],https://www.zomato.com/ahmedabad/mcdonalds-chandkheda?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Unit G- 1 & F-1, Commercial Hub, Akshar 3, Opposite Radha Swami Satsang, Visat Gandhinagar Highway, Chandkheda, Ahmedabad",Ahmedabad,Chandkheda,,"Chandkheda, Ahmedabad","Burger, Fast Food",9 AM to 1 AM,500,2,"['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned']",3.9,Good,664
540,Domino's Pizza,['Quick Bites'],https://www.zomato.com/ahmedabad/dominos-pizza-vastral?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Pushp Business Campus, Vastral Cross Road, Vastral, Ahmedabad",Ahmedabad,Vastral,,"Vastral, Ahmedabad","Pizza, Fast Food",10:57 AM to 11 PM,400,2,"['Lunch', 'Delivery', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Sodexo', 'Free Parking']",3.6,Good,775
541,Hyderabadi Hut,['Casual Dining'],https://www.zomato.com/ahmedabad/hyderabadi-hut-gurukul?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, Himalaya Mall, Drive In Road, Gurukul, Ahmedabad",Ahmedabad,"Himalaya Mall, Gurukul",,"Himalaya Mall, Gurukul, Ahmedabad","North Indian, Mughlai","12Noon to 3PM, 7PM to 11PM (Mon-Sun)",850,3,"['Lunch', 'Mall Parking', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Live Sports Screening', 'Digital Payments Accepted', 'Halal', 'Indoor Seating', 'Air Conditioned']",3.8,Good,791
542,Poetry,['Casual Dining'],https://www.zomato.com/ahmedabad/poetry-5-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Premises of Mann Party Plot, Besides KK Farms, Sindhu Bhawan Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","European, Continental","12noon – 3pm, 7pm – 11pm (Mon-Sun)",1200,3,"['Dinner', 'Cash', 'Debit Card', 'No Alcohol Available', 'Credit Card', 'Takeaway Available', 'Lunch', 'Air Conditioned', 'Indoor Seating', 'Pure Veg', 'Digital Payments Accepted']",4.3,Very Good,1134
543,Sante Spa Cuisine,['Casual Dining'],https://www.zomato.com/ahmedabad/sante-spa-cuisine-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2nd Floor, White Crow, Block B, Navratna Business Park, Sindhu Bhawan Road, Off S.G. Highway, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Salad, Continental, Healthy Food",11 AM to 11 PM,800,3,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.7,Excellent,278
544,Havmor - The Eatery,['Quick Bites'],https://www.zomato.com/ahmedabad/havmor-the-eatery-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11, Sardar Center, Vastrapur Lake, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,0,"Vastrapur, Ahmedabad","Fast Food, Street Food, Desserts, Ice Cream, Beverages",11 AM to 11 PM,600,2,"['Dinner', 'No Alcohol Available', 'Takeaway Available', 'Debit Card', 'Credit Card', 'Delivery', 'Cash', 'Lunch', 'Sodexo', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned', 'Free Parking', 'Pure Veg']",4.0,Very Good,618
545,The Chocolate Room,['Café'],https://www.zomato.com/ahmedabad/the-chocolate-room-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 6, Camps Corner 2, Opposite Prahlad Nagar Garden, Prahlad Nagar, Ahmedabad",Ahmedabad,"Camps Corner 2, Prahlad Nagar",0,"Camps Corner 2, Prahlad Nagar, Ahmedabad","Cafe, Desserts","10am – 11pm (Mon-Sat),11am – 11:30pm (Sun)",600,2,"['Cash', 'Takeaway Available', 'Debit Card', 'Delivery', 'Credit Card', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes']",3.8,Good,506
546,Whatta Waffle!,['Dessert Parlour'],https://www.zomato.com/ahmedabad/whatta-waffle-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 3, Asian Square, Near Armieda, Sindhu Bhavan Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Desserts, Beverages",12noon – 12midnight (Mon-Sun),400,2,"['Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'Debit Card', 'Free Parking', 'Digital Payments Accepted', 'Desserts and Bakes', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.4,Very Good,533
547,Radhika's Authentic South Indian Food,['Casual Dining'],https://www.zomato.com/ahmedabad/radhikas-authentic-south-indian-food-gurukul?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4, 15 - Sunrise Shopping Centre, Near ASIA School, Drive In Road, Gurukul, Ahmedabad",Ahmedabad,Gurukul,,"Gurukul, Ahmedabad",South Indian,8:30 AM to 11 PM,500,2,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Indoor Seating', 'Table booking not available', 'Air Conditioned', 'Pure Veg']",4.1,Very Good,872
548,Dakshinayan,['Casual Dining'],https://www.zomato.com/ahmedabad/dakshinayan-satellite?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4-7, Sarthik Complex, Near Gulmohar Park Mall, Satellite, Ahmedabad",Ahmedabad,Satellite,0,"Satellite, Ahmedabad",South Indian,"11 AM to 3 PM, 6 PM to 11 PM",800,3,"['Cash', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Delivery', 'Lunch', 'Air Conditioned', 'Indoor Seating', 'Pure Veg', 'Table booking not available']",4.3,Very Good,1031
549,Natural Ice Cream,['Dessert Parlour'],https://www.zomato.com/ahmedabad/natural-ice-cream-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Shri Krishna Centre, Mithakhali Six Roads, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,0,"Navrangpura, Ahmedabad","Desserts, Ice Cream",11 AM to 12 Midnight,150,1,"['Cash', 'Takeaway Available', 'Debit Card', 'Desserts and Bakes', 'Indoor Seating', 'Pure Veg', 'Air Conditioned']",4.5,Excellent,704
550,Sizzante - Sizzlers & More,['Casual Dining'],https://www.zomato.com/ahmedabad/sizzante-sizzlers-more-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"301/B, Shilp Aaron, Sindhu Bhavan Road, Pakwan Cross Roads, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Continental, Italian, Chinese, Beverages","12 Noon to 3 PM, 7 PM to 11 PM",1000,3,"['Cash', 'Debit Card', 'Lunch', 'Dinner', 'Takeaway Available', 'Credit Card', 'Table booking recommended', 'Air Conditioned', 'Serves Jain Food', 'Live Sports Screening', 'Live Music', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Free Parking', 'Outdoor Seating', 'Indoor Seating']",4.1,Very Good,722
551,Apna Punjab Parattha,['Quick Bites'],https://www.zomato.com/ahmedabad/apna-punjab-parattha-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Shakti Square, Opposite Management Enclave, Hanuman Mandir, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,,"Vastrapur, Ahmedabad",Street Food,11AM to 11PM (Mon-Sun),250,1,"['Lunch', 'Dinner', 'Takeaway Available', 'No Alcohol Available', 'Cash', 'Outdoor Seating', 'Free Parking', 'Pure Veg']",4.2,Very Good,1104
552,Sasuji,['Casual Dining'],https://www.zomato.com/ahmedabad/sasuji-c-g-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Lal Bunglow, C G Road, Ahmedabad",Ahmedabad,C G Road,0,"C G Road, Ahmedabad",Gujarati,"11 AM to 3 PM, 7 PM to 10 PM (Mon-Sun)",600,2,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.1,Very Good,985
553,La Pino'z Pizza,['Quick Bites'],https://www.zomato.com/ahmedabad/la-pinoz-pizza-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 18, Galaxy Bazar Complex, Opposite Himalaya mall, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,,"Vastrapur, Ahmedabad","Pizza, Italian",11 AM to 11 PM,500,2,"['Lunch', 'No Alcohol Available', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card', 'Free Parking', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.2,Very Good,681
554,Masala Canteen,['Casual Dining'],https://www.zomato.com/ahmedabad/masala-canteen-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11, Amrapali Lake View Tower, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,,"Vastrapur, Ahmedabad",North Indian,"12 Noon to 4 PM, 7 PM to 12 Midnight",900,3,"['No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Buffet', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended']",4.2,Very Good,543
555,The Shake Maker,['Beverage Shop'],https://www.zomato.com/ahmedabad/the-shake-maker-c-g-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1A, Surya Complex, opp.the golden time, 
Near Swastik Cross Road, C.G.Road",Ahmedabad,C G Road,380009,"C G Road, Ahmedabad","Beverages, Fast Food",11 AM to 11:30 PM (Mon-Sun),300,1,"['Takeaway Available', 'Credit Card', 'Cash', 'Delivery', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Wifi', 'Air Conditioned', 'Pure Veg']",4.3,Very Good,665
556,Shakti - The Sandwich Shop,['Quick Bites'],https://www.zomato.com/ahmedabad/shakti-the-sandwich-shop-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"16, Millenium Plaza, Opposite Swaminarayan Mandir, Mansi Circle, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Fast Food, Sandwich","12 Noon to 1 AM (Mon-Fri, Sun), 12 Noon to 2 AM (Sat)",500,2,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",3.9,Good,823
557,Cafe Piano - The Grand Bhagwati,['Café'],https://www.zomato.com/ahmedabad/cafe-piano-the-grand-bhagwati-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Grand Bhagwati, S.G. Highway, Bodakdev, Ahmedabad",Ahmedabad,"The Grand Bhagwati, Bodakdev",0,"The Grand Bhagwati, Bodakdev, Ahmedabad","Cafe, North Indian, Italian, Coffee, South Indian",24 Hours (Mon-Sun),1200,3,"['Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Air Conditioned', 'Axis Bank - Dining Delights', 'Pure Veg', 'Buffet', 'Indoor Seating', 'Table Reservation Not Required', 'Serves Jain Food', 'Brunch']",4.2,Very Good,1071
558,The Big F,['Quick Bites'],https://www.zomato.com/ahmedabad/the-big-f-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3, Sardar Complex, Opposite Vastrapur Lake",Ahmedabad,Vastrapur,,"Vastrapur, Ahmedabad",Fast Food,9 AM to 3 AM,300,1,"['Delivery', 'Dinner', 'Takeaway Available', 'Credit Card', 'Lunch', 'No Alcohol Available', 'Cash', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Free Parking', 'Pure Veg']",4.1,Very Good,714
559,Momoman,['Casual Dining'],https://www.zomato.com/ahmedabad/momoman-gurukul?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop B/1, Swamini Complex, Opposite Drive in Cinema, Gurukul, Ahmedabad",Ahmedabad,Gurukul,,"Gurukul, Ahmedabad","Momos, Chinese",11 AM to 3 AM,550,2,"['Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Table Reservation Not Required', 'Indoor Seating', 'Air Conditioned']",4.0,Very Good,904
560,Shakti - The Sandwich Shop,['Quick Bites'],https://www.zomato.com/ahmedabad/shakti-the-sandwich-shop-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G 35, Rivera Arcade, Near AUDA Garden, Prahladnagar Road, Prahlad Nagar, Ahmedabad",Ahmedabad,"Rivera Arcade, Prahladnagar",,"Rivera Arcade, Prahladnagar, Ahmedabad","Fast Food, Sandwich",11 AM to 11 PM,500,2,"['Dinner', 'Cash', 'Delivery', 'Debit Card', 'Lunch', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Free Parking', 'Air Conditioned', 'Wifi']",4.0,Very Good,669
561,Daawat-E-Khaas,['Casual Dining'],https://www.zomato.com/ahmedabad/daawat-e-khaas-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Dhara Center, Opposite Hero Showroom, Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","North Indian, Mughlai",11 AM to 11 PM,1000,3,"['Breakfast', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Wifi']",4.2,Very Good,632
562,Atithi,['Casual Dining'],https://www.zomato.com/ahmedabad/atithi-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Mohini Tower, Near Shraddha Petrol Pump, Judges Bungalow Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,0,"Bodakdev, Ahmedabad",Gujarati,"11 AM to 3 PM, 7 PM to 10 PM",600,2,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Serves Jain Food', 'Valet Parking Available', 'Table Reservation Not Required', 'Pure Veg']",4.1,Very Good,1030
563,Fit Meals,[],https://www.zomato.com/ahmedabad/fit-meals-1-satellite?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, 1st Floor, Manas Complex, Jodhpur Char Rasta, Satellite, Ahmedabad",Ahmedabad,Satellite,,"Satellite, Ahmedabad","Healthy Food, North Indian, Salad","11 AM to 3:30 PM, 6:30 PM to 12 Midnight",400,2,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery']",4.1,Very Good,904
564,Pabrai's Fresh & Naturelle,['Dessert Parlour'],https://www.zomato.com/ahmedabad/pabrais-fresh-naturelle-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop No 2, Ground Floor, Chinmay Crystal Tower, Opposite Vastrapur Lake, Bodakdev, Ahmedabad",Ahmedabad,Vastrapur,380009,"Vastrapur, Ahmedabad","Ice Cream, Desserts","12Noon to 1AM (Mon-Sat),11AM to 1AM (Sun)",250,1,"['Cash', 'Delivery', 'Debit Card', 'No Alcohol Available', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Air Conditioned', 'Wifi', 'Desserts and Bakes']",4.6,Excellent,657
565,Pizza Tune,['Casual Dining'],https://www.zomato.com/ahmedabad/pizza-tune-gota?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"28, Vandematram Arcade, New S G Road, Gota, Ahmedabad",Ahmedabad,Gota,,"Gota, Ahmedabad",Pizza,"11AM to 11PM (Mon),11AM to 3:30PM, 6PM to 11PM (Tue-Sun)",500,2,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'All Day Breakfast', 'Digital Payments Accepted', 'Buffet', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",3.8,Good,557
566,Hamfoo's,['Quick Bites'],https://www.zomato.com/ahmedabad/hamfoos-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 2, Dev Auram, Anand Nagar Crossroads, Prahlad Nagar, Ahmedabad",Ahmedabad,Prahlad Nagar,,"Prahlad Nagar, Ahmedabad","Pizza, Italian",11am – 3am (Mon-Sun),500,2,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Air Conditioned']",3.9,Good,1114
567,Ph Se Food,['Casual Dining'],https://www.zomato.com/ahmedabad/ph-se-food-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"205-206, Silve Radiance, Sindhu Bhawan Road, Pakwan Char Rasta, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,380054,"Bodakdev, Ahmedabad","North Indian, Chinese, Fast Food",12noon – 11pm (Mon-Sun),900,3,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Pure Veg']",4.5,Excellent,1434
568,Millhouse,['Casual Dining'],https://www.zomato.com/ahmedabad/millhouse-1-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Alpha One Mall, Vastrapur, Ahmedabad",Ahmedabad,"Ahmedabad One Mall, Vastrapur",,"Ahmedabad One Mall, Vastrapur, Ahmedabad","Continental, Italian",11 AM to 11 PM,1200,3,"['No Alcohol Available', 'Debit Card', 'Credit Card', 'Dinner', 'Mall Parking', 'Cash', 'Lunch', 'Takeaway Available', 'Group Meal', 'Desserts and Bakes', 'All Day Breakfast', 'Indoor Seating', 'Serves Jain Food', 'Vegan Options', 'Air Conditioned', 'Wheelchair Accessible', 'Lunch Menu', 'Kid Friendly']",4.5,Excellent,1530
569,The Red Bistro,['Casual Dining'],https://www.zomato.com/ahmedabad/the-red-bistro-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Armeida, Sindhu Bhavan Road, Off SG Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Mexican, Italian, North Indian","6:30 PM to 10:45 PM (Mon), 12 Noon to 10:45 PM (Tue-Sun)",1400,3,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Outdoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Pure Veg', 'Live Sports Screening', 'Indoor Seating', 'Air Conditioned']",4.6,Excellent,695
570,Kadak Bhagat,['Casual Dining'],https://www.zomato.com/ahmedabad/kadak-bhagat-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, First Floor, Dev Aurum Complex, Deer Cirle, Anandnagar Crossroad, Prahlad Nagar, Ahmedabad",Ahmedabad,Prahlad Nagar,,"Prahlad Nagar, Ahmedabad","North Indian, Chinese, Fast Food","11:30 AM to 3:30 PM, 7 PM to 11 PM",1000,3,"['Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Takeaway Available', 'Pure Veg', 'Sneakpeek', 'Indoor Seating', 'Serves Jain Food', 'Air Conditioned']",4.4,Very Good,977
571,Urban Khichdi,['Casual Dining'],https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A -103, Shivalik Plaza, Opposite AMA, IIM Road, Panjrapole, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,380015,"Vastrapur, Ahmedabad","North Indian, Continental","Mon-Sun (12 Noon to 4 PM, 7 PM to 11 PM)",600,2,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Free Parking', 'Digital Payments Accepted']",4.7,Excellent,619
572,Soulmate - Make Moments Memorable,['Casual Dining'],https://www.zomato.com/ahmedabad/soulmate-make-moments-memorable-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 102, Addor Aspire, University Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,380015,"Navrangpura, Ahmedabad","Italian, Continental","11 AM to 3 PM, 7 PM to 12 Midnight",1500,4,"['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Free Wifi', 'Pure Veg', 'Couple Entry Only', 'Air Conditioned']",4.7,Excellent,477
573,RP's Pizzeria,['Casual Dining'],https://www.zomato.com/ahmedabad/rps-pizzeria-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Yash Aqua, Near Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Pizza, Italian",11 AM to 11 PM,550,2,"['Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Pure Veg', 'Table booking for Groups', 'Air Conditioned', 'Serves Jain Food', 'Buffet', 'Group Meal']",4.4,Very Good,1653
574,Wok On Fire,['Casual Dining'],https://www.zomato.com/ahmedabad/wok-on-fire-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Aeon Complex, Vijay Cross Roads, Opposite Navkar Institute, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Chinese, Thai, Asian",11 AM to 11 PM (Mon-Sun),1200,3,"['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Sodexo', 'Air Conditioned', 'Pure Veg', 'Brunch', 'Indoor Seating']",4.1,Very Good,1305
575,Mocha,['Café'],https://www.zomato.com/ahmedabad/mocha-c-g-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10, Vasant Baug Society, Near IDBI Bank, CA Circle, Navrangpura, Ahmedabad",Ahmedabad,C G Road,380006,"C G Road, Ahmedabad","Cafe, Italian","11 AM to 11 PM (Mon), 11 AM to 12:30 AM (Tue-Sun)",800,3,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Free Wifi', 'Digital Payments Accepted', 'Wifi', 'Live Sports Screening', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Desserts and Bakes', 'Valet Parking Available']",4.4,Very Good,1065
576,Kabir Restaurant,['Casual Dining'],https://www.zomato.com/ahmedabad/kabir-restaurant-gurukul?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"JB Tower, Opposite Doordarshan Kendra, Drive In Road, Gurukul, Ahmedabad",Ahmedabad,Gurukul,0,"Gurukul, Ahmedabad",North Indian,8 AM to 11 PM,600,2,"['Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",4.0,Very Good,3052
577,Parosa,['Casual Dining'],https://www.zomato.com/ahmedabad/parosa-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 2, Ground Floor, Silver Radiance Building, Near Pakwan Cross Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,380054,"Bodakdev, Ahmedabad","Italian, Mexican, North Indian","12 Noon to 12 Midnight (Mon-Wed, Fri), 11 AM to 12 Midnight (Thu), 12 Noon to 1 AM (Sat-Sun)",800,3,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",4.2,Very Good,930
578,Yash's GBT,['Casual Dining'],https://www.zomato.com/ahmedabad/yashs-gbt-gulbai-tekra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 2, Wing B, Heritage Square, Opposite Atlanta Towers, Gulbai Tekra Road, Off C.G Road, Ahmedabad",Ahmedabad,Gulbai Tekra,380006,"Gulbai Tekra, Ahmedabad","Italian, Cafe",11 AM to 11 PM,800,3,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Credit Card', 'Lunch', 'Cash', 'Delivery', 'Debit Card', 'Live Sports Screening', 'Outdoor Seating', 'Air Conditioned', 'Wifi', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Pure Veg']",4.2,Very Good,777
