timestamp,recommendation_id,selected_restaurants,favorite_dishes
2025-02-14 13:28:35.444706,20250214_132835,"['mocha', 'pepito']",[]
2025-02-14 13:29:42.476398,20250214_132940,"['mocha', 'pepito']",[Dish(name='fries')]
2025-02-14 13:33:54.488410,20250214_133354,"['burger king', 'mcdonalds']",[]
2025-02-14 13:34:29.537168,20250214_133429,"['mcdonalds', 'pepito']",[]
2025-02-14 13:38:40.443757,20250214_133838,"['burger king', 'the shaka cafe']",[Dish(name='fries')]
2025-02-14 14:43:19.346509,20250214_144318,"['mocha', 'pepito']",[]
2025-02-14 14:50:34.687078,20250214_145033,"['honest', 'pepito']",[]
2025-02-14 14:51:23.392989,20250214_145122,"['pepito', 'mocha']",[]
2025-02-14 15:00:35.076391,20250214_150034,"['mocha', 'pepito']",[]
2025-02-14 15:06:41.906776,20250214_150641,"['burger king', 'mcdonalds']",[]
2025-02-14 15:07:27.229613,20250214_150726,"['pepito', 'mocha']",[]
2025-02-14 15:08:01.960239,20250214_150759,"['pepito', 'mocha']",[Dish(name='fries')]
2025-02-14 15:12:14.111717,20250214_151213,"['mocha', 'pepito']",[]
2025-02-14 15:13:38.525962,20250214_151338,"['burger king', 'mcdonalds']",[]
2025-02-14 15:13:49.691750,20250214_151347,"['burger king', 'mcdonalds']",[Dish(name='fries')]
2025-02-14 15:17:05.783744,20250214_151705,"['mocha', 'pepito']",[]
2025-02-14 15:17:47.712140,20250214_151745,"['mocha', 'pepito']",[Dish(name='fries')]
2025-02-14 15:28:04.147120,20250214_152803,"['sankalp', 'honest']",[]
2025-02-14 15:28:53.478485,20250214_152853,"['banjara', 'pepito']",[]
2025-02-14 15:31:50.721763,20250214_153150,"['The Grand Bhagwati', 'honest']",[]
2025-02-14 15:43:43.399917,20250214_154343,"['mocha', 'pepito']",[]
2025-02-14 15:44:27.093658,20250214_154425,"['mocha', 'pepito']",[Dish(name='fries')]
