res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
110039,Birmies,['Casual Dining'],https://www.zomato.com/ahmedabad/birmies-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"13, Ground Floor, Antriksh Complex, Panjrapole Cross Road, Vastrapur, Ahmedabad",Ahmedabad,11,Vastrapur,23.0269123403,72.5444455817,0,1,"Vastrapur, Ahmedabad","North Indian, Chinese, Italian","12 Noon to 5 PM, 7 PM to 10:30 PM",600,2,Rs.,"['Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Table Reservation Not Required', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Outdoor Seating', 'Serves Jain Food']",4.1,Very Good,909,281,0.0,-1,-1
18316090,Havmor Restaurant,['Casual Dining'],https://www.zomato.com/ahmedabad/havmor-restaurant-naranpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Ground Floor, Shivalik Yash Building, Pallav Cross Roads, 132 Feet Ring Road, Naranpura, Ahmedabad",Ahmedabad,11,Naranpura,23.06165037,72.5528368726,,1,"Naranpura, Ahmedabad","North Indian, Fast Food",12 Noon to 11 PM,700,2,Rs.,"['Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Dinner', 'Delivery', 'Debit Card', 'Digital Payments Accepted', 'Desserts and Bakes', 'Sodexo', 'Air Conditioned', 'Pure Veg', 'Indoor Seating']",4.0,Very Good,507,118,0.0,-1,-1
113093,Dilliwale,['Casual Dining'],https://www.zomato.com/ahmedabad/dilliwale-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G 8, Kalyan Tower, Opposite Ahmedabad One Mall, Vastrapur, Ahmedabad",Ahmedabad,11,Vastrapur,23.0385692985,72.53134835510001,,1,"Vastrapur, Ahmedabad","North Indian, Street Food","6PM to 11PM (Mon),12Noon to 11PM (Tue-Sun)",600,2,Rs.,"['Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Pure Veg', 'Indoor Seating', 'Air Conditioned', 'Serves Jain Food', 'Digital Payments Accepted']",4.2,Very Good,809,298,0.0,1,-1
113037,Divine Dine,['Casual Dining'],https://www.zomato.com/ahmedabad/divine-dine-chandkheda?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, 4D Square Mall, Opposite Government Engineering College, Visat Gandhinagar Road, Motera, Chandkheda, Ahmedabad",Ahmedabad,11,"4D Square Mall, Chandkheda",23.1022244608,72.5954199582,380005,1,"4D Square Mall, Chandkheda, Ahmedabad","North Indian, Chinese","11AM to 3PM, 6:30PM to 11PM (Mon-Sun)",550,2,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required', 'Pure Veg']",3.9,Good,1081,96,0.0,-1,-1
111036,SandwichworkZ - The Fusion Street Cafe,['Café'],https://www.zomato.com/ahmedabad/sandwichworkz-the-fusion-street-cafe-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"5 & 6, Madhav Complex, IIM Road, Vastrapur, Ahmedabad",Ahmedabad,11,Vastrapur,23.028380160500003,72.5429019704,0,1,"Vastrapur, Ahmedabad","Cafe, North Indian",8:30 AM to 11 PM,700,2,Rs.,"['Credit Card', 'Breakfast', 'Dinner', 'No Alcohol Available', 'Takeaway Available', 'Cash', 'Debit Card', 'Lunch', 'Delivery', 'Free Parking', 'Indoor Seating', 'Digital Payments Accepted', 'Live Sports Screening', 'All Day Breakfast', 'Air Conditioned']",4.4,Very Good,1436,934,0.0,-1,-1
18338798,Pizza Tune,['Casual Dining'],https://www.zomato.com/ahmedabad/pizza-tune-gota?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"28, Vandematram Arcade, New S G Road, Gota, Ahmedabad",Ahmedabad,11,Gota,23.0944722607,72.5463968888,,1,"Gota, Ahmedabad",Pizza,"11AM to 11PM (Mon),11AM to 3:30PM, 6PM to 11PM (Tue-Sun)",500,2,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'All Day Breakfast', 'Digital Payments Accepted', 'Buffet', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",3.8,Good,557,64,0.0,1,-1
110022,Atithi,['Casual Dining'],https://www.zomato.com/ahmedabad/atithi-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Mohini Tower, Near Shraddha Petrol Pump, Judges Bungalow Road, Bodakdev, Ahmedabad",Ahmedabad,11,Bodakdev,23.0379818465,72.5135753676,0,1,"Bodakdev, Ahmedabad",Gujarati,"11 AM to 3 PM, 7 PM to 10 PM",600,2,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Serves Jain Food', 'Valet Parking Available', 'Table Reservation Not Required', 'Pure Veg']",4.1,Very Good,1030,224,0.0,-1,-1
110856,Posh Urban,['Casual Dining'],https://www.zomato.com/ahmedabad/posh-urban-chandkheda?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, Dev Business Hub, Near Government Engineering College, Chandkheda, Ahmedabad",Ahmedabad,11,Chandkheda,23.1065032911,72.5981816277,382424,1,"Chandkheda, Ahmedabad","North Indian, Chinese, Fast Food","11 AM to 3:15 PM, 6:30 PM to 11 PM (Mon-Wed, Sat-Sun), 12 Midnight to 3:15 PM, 6:30 PM to 10:45 PM (Thu), 11 AM to 3:16 PM, 6:30 PM to 10:45 PM (Fri)",550,2,Rs.,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Air Conditioned', 'Pure Veg', 'Indoor Seating']",3.8,Good,1228,59,0.0,-1,-1
113401,Momoman,['Casual Dining'],https://www.zomato.com/ahmedabad/momoman-gurukul?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop B/1, Swamini Complex, Opposite Drive in Cinema, Gurukul, Ahmedabad",Ahmedabad,11,Gurukul,23.0464209781,72.5295841321,,1,"Gurukul, Ahmedabad","Momos, Chinese",11 AM to 3 AM,550,2,Rs.,"['Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Table Reservation Not Required', 'Indoor Seating', 'Air Conditioned']",4.0,Very Good,904,449,0.0,1,-1
110173,Havmor Restaurant,['Casual Dining'],https://www.zomato.com/ahmedabad/havmor-restaurant-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Behind Navrangpura Bus Stop, Stadium Road, Navrangpura, Ahmedabad",Ahmedabad,11,Navrangpura,23.0376233267,72.5658174232,0,1,"Navrangpura, Ahmedabad","North Indian, Fast Food",12 Noon to 11 PM,700,2,Rs.,"['No Alcohol Available', 'Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Sodexo', 'Table Reservation Not Required', 'Pure Veg', 'Desserts and Bakes', 'Indoor Seating', 'Air Conditioned']",4.2,Very Good,681,206,0.0,-1,-1
18260995,Daawat-E-Khaas,['Casual Dining'],https://www.zomato.com/ahmedabad/daawat-e-khaas-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Dhara Center, Opposite Hero Showroom, Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,11,Navrangpura,23.0421553536,72.550271675,,1,"Navrangpura, Ahmedabad","North Indian, Mughlai",11 AM to 11 PM,1000,3,Rs.,"['Breakfast', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Wifi']",4.2,Very Good,632,245,0.0,-1,-1
113570,Turquoise Villa,['Casual Dining'],https://www.zomato.com/ahmedabad/turquoise-villa-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Shanay 1, Near AMA, IIM Road, Vastrapur, Ahmedabad",Ahmedabad,11,Vastrapur,23.028199345100003,72.54344645890001,,1,"Vastrapur, Ahmedabad","Continental, North Indian, Salad",11 AM to 1 AM,1200,3,Rs.,"['Lunch', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Outdoor Seating', 'Air Conditioned', 'Wifi', 'Indoor Seating']",4.0,Very Good,917,1160,0.0,-1,-1
110617,Olives Restaurant,['Casual Dining'],https://www.zomato.com/ahmedabad/olives-restaurant-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Pakvan Bopal Road, Near Sindhu Bhavan, Bodakdev, Ahmedabad",Ahmedabad,11,Bodakdev,23.0406799702,72.5011570752,0,1,"Bodakdev, Ahmedabad","North Indian, Chinese, Italian","11 AM to 3 PM, 7 PM to 11 PM",1000,3,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",3.6,Good,816,325,0.0,-1,-1
113604,Juggernaut,['Casual Dining'],https://www.zomato.com/ahmedabad/juggernaut-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Sindhu Bhawan Marg, Near Sattva Vikas School, Bodakdev, Ahmedabad",Ahmedabad,11,Bodakdev,23.0418388047,72.4978804216,,1,"Bodakdev, Ahmedabad","Mexican, North Indian, Italian",12 Noon to 11 PM,900,3,Rs.,"['Credit Card', 'Dinner', 'Takeaway Available', 'Lunch', 'Delivery', 'Cash', 'No Alcohol Available', 'Debit Card', 'Pure Veg', 'Air Conditioned', 'Digital Payments Accepted', 'Indoor Seating', 'Live Sports Screening', 'Table reservation required']",4.2,Very Good,697,463,0.0,-1,-1
110076,Cafe Upper Crust,['Casual Dining'],https://www.zomato.com/ahmedabad/cafe-upper-crust-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Aarohi Complex, Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,11,Navrangpura,23.0412504414,72.5485805422,380009,1,"Navrangpura, Ahmedabad","Continental, Asian, North Indian",11 AM to 11 PM,1000,3,Rs.,"['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'Free Parking', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Serves Jain Food', 'Desserts and Bakes']",4.3,Very Good,1092,516,0.0,-1,-1
18575140,Wok on Fire,['Casual Dining'],https://www.zomato.com/ahmedabad/wok-on-fire-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G-1, Alpha Center Court, Opposite Armeda, Bodakdev, Ahmedabad",Ahmedabad,11,Bodakdev,23.0395683313,72.5082850456,,1,"Bodakdev, Ahmedabad","Chinese, Thai, Asian",11 AM to 11 PM,850,3,Rs.,"['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Free Parking', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Pure Veg']",3.9,Good,510,391,0.0,-1,-1
110712,Highland Park,['Casual Dining'],https://www.zomato.com/ahmedabad/highland-park-memnagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, Vrundavan Complex, Opposite Chinmay Tower, Gurukul Road, Memnagar, Ahmedabad",Ahmedabad,11,Memnagar,23.0539279145,72.5341046602,0,1,"Memnagar, Ahmedabad","North Indian, Chinese","11AM to 3PM, 7PM to 11PM (Mon-Sun)",600,2,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Indoor Seating', 'Table booking not available', 'Air Conditioned', 'Pure Veg']",3.9,Good,1025,128,0.0,-1,-1
113727,Little Italy,['Casual Dining'],https://www.zomato.com/ahmedabad/little-italy-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Block N, Safal Mondeal Retail Park, Near Rajpath Club, S.G Road, Bodakdev, Ahmedabad",Ahmedabad,11,Bodakdev,23.0325292811,72.5081623346,,1,"Bodakdev, Ahmedabad","Italian, Mexican","12 Noon to 3:30 PM, 7 PM to 11 PM",1100,3,Rs.,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Pure Veg', 'Brunch', 'Table booking not available', 'Air Conditioned', 'Buffet']",4.2,Very Good,640,474,0.0,-1,-1
110211,Honest,['Casual Dining'],https://www.zomato.com/ahmedabad/honest-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"17-19, Ground Floor, Corporate House, Near Shradha Petrol Pump, Bodakdev, Ahmedabad",Ahmedabad,11,Bodakdev,23.0383650481,72.51260742550001,0,1,"Bodakdev, Ahmedabad","North Indian, South Indian, Fast Food, Chinese",9:30 AM to 1 AM,700,2,Rs.,"['No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Table Reservation Not Required', 'Pure Veg', 'Indoor Seating', 'Air Conditioned', 'Serves Jain Food']",3.9,Good,676,106,0.0,1,-1
