Index,url,address,city,highlights,location_url,name,establishment,votes,cuisines,average_cost_for_two,more_info,zipcode,timings,locality,aggregate_rating,highlights_4/5_star,highlights_5_star_property,highlights_air_conditioned,highlights_all_day_breakfast,highlights_available_for_functions,highlights_axis_bank_-_dining_delights,highlights_board_games,highlights_breakfast,highlights_brunch,highlights_buffet,highlights_bulk_orders_accepted,highlights_cash,highlights_couple_entry_only,highlights_credit_card,highlights_dj,highlights_debit_card,highlights_delivery,highlights_desserts_and_bakes,highlights_digital_payments_accepted,highlights_dinner,highlights_disabled_friendly,highlights_family_friendly,highlights_free_parking,highlights_free_wifi,highlights_gaming_area,highlights_gluten_free_options,highlights_group_meal,highlights_halal,highlights_happy_hours,highlights_high_tea,highlights_home_delivery,highlights_indoor_seating,highlights_keto_options,highlights_kid_friendly,highlights_live_entertainment,highlights_live_music,highlights_live_sports_screening,highlights_low-intensity_music,highlights_lunch_menu,highlights_lunch,highlights_luxury_dining,highlights_mall_parking,highlights_no_alcohol_available,highlights_no_seating_available,highlights_outdoor_seating,highlights_party_music,highlights_pet_friendly,highlights_poolside,highlights_pre-ordering_required,highlights_private_dining_area_available,highlights_pure_veg,highlights_restroom_available,highlights_romantic_dining,highlights_rooftop,highlights_self_service,highlights_serves_alcohol,highlights_serves_cocktails,highlights_serves_jain_food,highlights_serves_non_veg,highlights_smoking_area,highlights_sneakpeek,highlights_sodexo,highlights_standing_tables,highlights_street_parking,highlights_subscription_available,highlights_sugar_free_options,highlights_table_reservation_not_required,highlights_table_booking_for_groups,highlights_table_booking_not_available,highlights_table_booking_recommended,highlights_table_reservation_required,highlights_takeaway_available,highlights_ticket_restaurant,highlights_unlimited_pizza,highlights_valet_parking_available,highlights_variable_menu,highlights_vegan_options,highlights_vegetarian_only,highlights_wheelchair_accessible,highlights_wifi,highlights_wine,highlights_work_friendly,highlights_,Image_URLs
1,https://www.zomato.com/ahmedabad/millhouse-1-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Alpha One Mall, Vastrapur, Ahmedabad",Ahmedabad,"['No Alcohol Available', 'Debit Card', 'Credit Card', 'Dinner', 'Mall Parking', 'Cash', 'Lunch', 'Takeaway Available', 'Group Meal', 'Desserts and Bakes', 'All Day Breakfast', 'Indoor Seating', 'Serves Jain Food', 'Vegan Options', 'Air Conditioned', 'Wheelchair Accessible', 'Lunch Menu', 'Kid Friendly']",https://www.google.com/maps/search/?api=1&query=Millhouse%2C%203rd%20Floor%2C%20Alpha%20One%20Mall%2C%20Vastrapur%2C%20Ahmedabad,Millhouse,['Casual Dining'],1530.0,"Continental, Italian",1200,,,11 AM to 11 PM,"Ahmedabad One Mall, Vastrapur",4.5,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,['https://b.zmtcdn.com/data/pictures/7/18658177/202711b2d2995637066130941f189c99.jpg']
2,https://www.zomato.com/ahmedabad/the-red-bistro-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Armeida, Sindhu Bhavan Road, Off SG Road, Bodakdev, Ahmedabad",Ahmedabad,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Outdoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Pure Veg', 'Live Sports Screening', 'Indoor Seating', 'Air Conditioned']",https://www.google.com/maps/search/?api=1&query=The%20Red%20Bistro%2C%20Armeida%2C%20Sindhu%20Bhavan%20Road%2C%20Off%20SG%20Road%2C%20Bodakdev%2C%20Ahmedabad,The Red Bistro,['Casual Dining'],695.0,"Mexican, Italian, North Indian",1400,"Home Delivery, Takeaway Available, Vegetarian Only, Outdoor Seating, Live Sports Screening, Indoor Seating, Family Friendly",,"6:30 PM to 10:45 PM (Mon), 12 Noon to 10:45 PM (Tue-Sun)",Bodakdev,4.6,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['https://b.zmtcdn.com/data/pictures/chains/6/18663856/5ea352ae58b48debd6fe70873cb7385a.jpg']
3,https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A -103, Shivalik Plaza, Opposite AMA, IIM Road, Panjrapole, Vastrapur, Ahmedabad",Ahmedabad,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Free Parking', 'Digital Payments Accepted']",https://www.google.com/maps/search/?api=1&query=Urban%20Khichdi%2C%20A%20-103%2C%20Shivalik%20Plaza%2C%20Opposite%20AMA%2C%20IIM%20Road%2C%20Panjrapole%2C%20Vastrapur%2C%20Ahmedabad,Urban Khichdi,['Casual Dining'],619.0,"North Indian, Continental",600,"Home Delivery, Takeaway Available, Vegetarian Only, Indoor Seating, Family Friendly, Mall Parking",380015,"Mon-Sun (12 Noon to 4 PM, 7 PM to 11 PM)",Vastrapur,4.7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['https://b.zmtcdn.com/data/pictures/chains/0/18718880/abf31cb14c8ae06e04636b394199db28.jpg']
4,https://www.zomato.com/ahmedabad/soulmate-make-moments-memorable-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 102, Addor Aspire, University Road, Navrangpura, Ahmedabad",Ahmedabad,"['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Free Wifi', 'Pure Veg', 'Couple Entry Only', 'Air Conditioned']",https://www.google.com/maps/search/?api=1&query=Soulmate%20-%20Make%20Moments%20Memorable%2C%20Shop%20102%2C%20Addor%20Aspire%2C%20University%20Road%2C%20Navrangpura%2C%20Ahmedabad,Soulmate - Make Moments Memorable,['Casual Dining'],477.0,"Italian, Continental",1500,"Home Delivery, Vegetarian Only, Serves Alcohol, Indoor Seating, Family Friendly, Serves Alcohol, Table booking recommended",380015,"11 AM to 3 PM, 7 PM to 12 Midnight",Navrangpura,4.7,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['https://b.zmtcdn.com/data/pictures/9/18707059/e6902ba7196a386ddeb1b40c6d73c253.jpg']
5,https://www.zomato.com/ahmedabad/huber-holly-1-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7 B, Pakwan Cross Road, Boadakdev, Ahmedabad",Ahmedabad,"['Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes', 'Outdoor Seating', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Pure Veg']",https://www.google.com/maps/search/?api=1&query=Huber%20%26%20Holly%2C%207%20B%2C%20Pakwan%20Cross%20Road%2C%20Boadakdev%2C%20Ahmedabad,Huber & Holly,['Dessert Parlour'],1545.0,"Desserts, Italian",500,"Home Delivery, Takeaway Available, Vegetarian Only, Kid Friendly, Indoor Seating",,10am – 3am (Mon-Sun),Bodakdev,4.8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,['https://b.zmtcdn.com/data/pictures/chains/0/18396250/284779bd673bd6a1d9bae7b9e7f9d31a.jpg']
6,https://www.zomato.com/ahmedabad/anjoy-latenight-meals-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"B -3, Himalaya Complex, Nehru Park Fountain, Near SBI Vastrapur Lake Vastrapur, Ahmedabad",Ahmedabad,"['No Alcohol Available', 'Delivery', 'No Seating Available', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']",https://www.google.com/maps/search/?api=1&query=Anjoy%20Latenight%20Meals%2C%20B%20-3%2C%20Himalaya%20Complex%2C%20Nehru%20Park%20Fountain%2C%20Near%20SBI%20Vastrapur%20Lake%20Vastrapur%2C%20Ahmedabad,Anjoy Latenight Meals,[],1284.0,"North Indian, Fast Food",500,"Home Delivery, Takeaway Available, No Seating Available",,"12 Noon to 4 PM, 7:30 PM to 4:30 AM",Vastrapur,4.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['https://b.zmtcdn.com/data/pictures/chains/5/113895/de8e039d19b1119d20d10bcefe108729.jpg']
7,https://www.zomato.com/ahmedabad/the-esplendido-cafe-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Law Garden Cross Road, Opposite Samartheshwar Mahadev, Near V-Mart, Navrangpura, Ahmedabad",Ahmedabad,"['Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Pure Veg', 'Board Games', 'Valet Parking Available', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Wifi', 'Serves Jain Food', 'Free Parking', 'Outdoor Seating', 'Indoor Seating']",https://www.google.com/maps/search/?api=1&query=The%20Esplendido%20Cafe%2C%20Ground%20Floor%2C%20Law%20Garden%20Cross%20Road%2C%20Opposite%20Samartheshwar%20Mahadev%2C%20Near%20V-Mart%2C%20Navrangpura%2C%20Ahmedabad,The Esplendido Cafe,['Café'],1549.0,"Cafe, American, Italian, Chinese",800,,,11:30am – 11:30pm (Mon-Sun),Navrangpura,4.5,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,['https://b.zmtcdn.com/data/pictures/5/18766005/ec546ee353b7cc20c7981f3712634629.jpg']
8,https://www.zomato.com/ahmedabad/la-pinoz-pizza-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 10,  Circle B, Nyay Marg, Bodakdev, Ahmedabad",Ahmedabad,"['Cash', 'Debit Card', 'Takeaway Available', 'Lunch', 'Dinner', 'Credit Card', 'Delivery', 'No Alcohol Available', 'Pure Veg', 'Air Conditioned', 'Free Parking', 'Indoor Seating']",https://www.google.com/maps/search/?api=1&query=La%20Pino%27z%20Pizza%2C%20Shop%2010%2C%20%20Circle%20B%2C%20Nyay%20Marg%2C%20Bodakdev%2C%20Ahmedabad,La Pino'z Pizza,['Quick Bites'],2476.0,"Pizza, Italian",500,,,11 AM to 11 PM,Bodakdev,4.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['https://b.zmtcdn.com/data/pictures/9/18438909/8ac67f799c14cd3b586e18e48eaa00f7.jpg']
9,https://www.zomato.com/ahmedabad/rps-pizzeria-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Yash Aqua, Near Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,"['Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Pure Veg', 'Table booking for Groups', 'Air Conditioned', 'Serves Jain Food', 'Buffet', 'Group Meal']",https://www.google.com/maps/search/?api=1&query=RP%27s%20Pizzeria%2C%20Ground%20Floor%2C%20Yash%20Aqua%2C%20Near%20Vijay%20Cross%20Road%2C%20Navrangpura%2C%20Ahmedabad,RP's Pizzeria,['Casual Dining'],1653.0,"Pizza, Italian",550,"Home Delivery, Takeaway Available, Vegetarian Only, Kid Friendly, Indoor Seating, Street Parking, Family Friendly",,11 AM to 11 PM,Navrangpura,4.4,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['https://b.zmtcdn.com/data/pictures/chains/3/18557653/51786616f403f39fb9088214a5397223.jpg']
10,https://www.zomato.com/ahmedabad/i-love-sandwich-house-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Shaival Complex, Opposite Rajpath Club, S G Highway, Bodakdev, Ahmedabad",Ahmedabad,"['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Live Sports Screening', 'Free Wifi', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",https://www.google.com/maps/search/?api=1&query=I%20Love%20Sandwich%20House%2C%20Ground%20Floor%2C%20Shaival%20Complex%2C%20Opposite%20Rajpath%20Club%2C%20S%20G%20Highway%2C%20Bodakdev%2C%20Ahmedabad,I Love Sandwich House,['Café'],1266.0,"Cafe, Sandwich",900,"Breakfast, Home Delivery, Takeaway Available, Indoor Seating",380015,8am – 1am (Mon-Sun),Bodakdev,4.2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['https://b.zmtcdn.com/data/pictures/chains/5/18627705/49d27be1e782ae0833209682b1c53acd.jpg']
